frame_total,score
757,-21.0
153574,-21.0
306385,-21.0
459600,-21.0
613023,-21.0
765666,-21.0
918780,-19.0
1072294,-20.0
1225191,-21.0
1377848,-21.0
1532152,-21.0
1684567,-21.0
1838202,-21.0
1991560,-20.0
2145670,-21.0
2300916,-21.0
2453553,-21.0
2606127,-21.0
2759140,-21.0
2911617,-21.0
3064983,-21.0
3217981,-21.0
3369861,-21.0
3522367,-21.0
3675293,-21.0
3827132,-21.0
3980057,-21.0
4133301,-21.0
4285926,-21.0
4439277,-21.0
4591524,-21.0
4744969,-21.0
4899043,-21.0
5052882,-21.0
5205809,-21.0
5358507,-21.0
5510787,-21.0
5664182,-21.0
5818665,-21.0
5971566,-21.0
6123680,-21.0
6277274,-21.0
6430497,-21.0
6583330,-21.0
6735999,-21.0
6890002,-21.0
7042565,-21.0
7195511,-21.0
7347914,-21.0
7501567,-21.0
7653495,-21.0
7806090,-21.0
7959447,-21.0
8111734,-21.0
8264613,-21.0
8416913,-21.0
8570293,-21.0
8722545,-21.0
8874908,-21.0
9027095,-21.0
9180040,-21.0
9332992,-21.0
9485490,-21.0
9638114,-21.0
9791330,-21.0
9944491,-21.0
10097946,-21.0
10251361,-21.0
10404194,-21.0
10557886,-21.0
10710189,-21.0
10863407,-21.0
11015866,-21.0
11168983,-21.0
11321630,-21.0
11474959,-21.0
11627905,-21.0
11780846,-21.0
11933750,-21.0
12086555,-21.0
12239667,-21.0
12392619,-21.0
12545881,-21.0
12697836,-21.0
12850201,-21.0
13002844,-21.0
13155423,-21.0
13308285,-21.0
13461916,-21.0
13614815,-21.0
13766859,-21.0
13919699,-21.0
14072792,-21.0
14226620,-21.0
14380538,-21.0
14533801,-21.0
14686297,-21.0
14839110,-21.0
14992258,-21.0
15144495,-21.0
15296949,-21.0
15450121,-21.0
15602740,-21.0
15756036,-21.0
15909310,-21.0
16062165,-21.0
16214506,-21.0
16367706,-21.0
16520809,-21.0
16674133,-21.0
16827164,-21.0
16980494,-21.0
17133695,-21.0
17287304,-21.0
17440201,-21.0
17593096,-21.0
17747231,-21.0
17900288,-21.0
18052827,-21.0
18206145,-21.0
18359587,-21.0
18511869,-21.0
18665410,-21.0
18818523,-21.0
18971978,-21.0
19125378,-21.0
19278885,-21.0
19430996,-21.0
19585050,-21.0
19737483,-21.0
19890949,-21.0
20044033,-21.0
20196778,-21.0
20350527,-21.0
20503959,-21.0
20656762,-21.0
20808696,-21.0
20961837,-21.0
21114235,-21.0
21267097,-21.0
21419686,-21.0
21572234,-21.0
21724750,-21.0
21878636,-21.0
22031789,-21.0
22184897,-21.0
22337188,-21.0
22489766,-21.0
22642236,-21.0
22795114,-21.0
22948284,-21.0
23100668,-21.0
23253629,-21.0
23407310,-21.0
23560226,-21.0
23712635,-21.0
23865217,-21.0
24018488,-21.0
24171340,-21.0
24324886,-21.0
24477095,-21.0
24629730,-21.0
24783380,-21.0
24935925,-21.0
25088927,-21.0
